time,id,value
0,64,86
0,65,31
0,66,113
0,67,72
0,68,86
0,69,71
0,70,72
0,71,33
0,72,184
0,73,168
0,74,110
0,75,147
0,76,125
0,77,71
0,78,148
0,79,122
0,80,44
0,81,35
0,82,79
0,83,26
0,84,68
0,85,78
0,86,21
0,87,43
0,88,60
0,89,151
0,90,40
0,91,91
0,92,123
0,93,70
0,94,71
0,95,67
0,96,85
0,97,0
0,98,0
0,99,0
0,100,0
0,101,99
0,102,0
0,103,0
0,104,0
0,105,0
0,106,63
0,107,0
0,108,0
0,109,0
0,110,0
0,111,67
1,64,86
1,65,31
1,66,113
1,67,72
1,68,86
1,69,71
1,70,72
1,71,33
1,72,184
1,73,168
1,74,110
1,75,147
1,76,125
1,77,71
1,78,148
1,79,122
1,80,44
1,81,35
1,82,79
1,83,26
1,84,68
1,85,78
1,86,21
1,87,43
1,88,60
1,89,151
1,90,40
1,91,91
1,92,123
1,93,70
1,94,71
1,95,67
1,96,85
1,97,0
1,98,0
1,99,0
1,100,0
1,101,99
1,102,0
1,103,0
1,104,0
1,105,0
1,106,63
1,107,0
1,108,0
1,109,0
1,110,0
1,111,67
2,64,86
2,65,31
2,66,113
2,67,72
2,68,86
2,69,71
2,70,72
2,71,33
2,72,184
2,73,168
2,74,110
2,75,147
2,76,125
2,77,71
2,78,148
2,79,122
2,80,44
2,81,35
2,82,79
2,83,26
2,84,68
2,85,78
2,86,21
2,87,43
2,88,60
2,89,151
2,90,40
2,91,91
2,92,123
2,93,70
2,94,71
2,95,67
2,96,85
2,97,0
2,98,0
2,99,0
2,100,0
2,101,99
2,102,0
2,103,0
2,104,0
2,105,0
2,106,63
2,107,0
2,108,0
2,109,0
2,110,0
2,111,67
3,64,86
3,65,31
3,66,113
3,67,72
3,68,86
3,69,71
3,70,72
3,71,33
3,72,184
3,73,168
3,74,110
3,75,147
3,76,125
3,77,71
3,78,148
3,79,122
3,80,44
3,81,35
3,82,79
3,83,26
3,84,68
3,85,78
3,86,21
3,87,43
3,88,60
3,89,151
3,90,40
3,91,91
3,92,123
3,93,70
3,94,71
3,95,67
3,96,85
3,97,0
3,98,0
3,99,0
3,100,0
3,101,99
3,102,0
3,103,0
3,104,0
3,105,0
3,106,63
3,107,0
3,108,0
3,109,0
3,110,0
3,111,67
4,64,86
4,65,31
4,66,113
4,67,72
4,68,86
4,69,71
4,70,72
4,71,33
4,72,184
4,73,168
4,74,110
4,75,147
4,76,125
4,77,71
4,78,148
4,79,122
4,80,44
4,81,35
4,82,79
4,83,26
4,84,68
4,85,78
4,86,21
4,87,43
4,88,60
4,89,151
4,90,40
4,91,91
4,92,123
4,93,70
4,94,71
4,95,67
4,96,85
4,97,0
4,98,0
4,99,0
4,100,0
4,101,99
4,102,0
4,103,0
4,104,0
4,105,0
4,106,63
4,107,0
4,108,0
4,109,0
4,110,0
4,111,67
5,64,86
5,65,31
5,66,113
5,67,72
5,68,86
5,69,71
5,70,72
5,71,33
5,72,184
5,73,168
5,74,110
5,75,147
5,76,125
5,77,71
5,78,148
5,79,122
5,80,44
5,81,35
5,82,79
5,83,26
5,84,68
5,85,78
5,86,21
5,87,43
5,88,60
5,89,151
5,90,40
5,91,91
5,92,123
5,93,70
5,94,71
5,95,67
5,96,85
5,97,0
5,98,0
5,99,0
5,100,0
5,101,99
5,102,0
5,103,0
5,104,0
5,105,0
5,106,63
5,107,0
5,108,0
5,109,0
5,110,0
5,111,67
6,64,86
6,65,31
6,66,113
6,67,72
6,68,86
6,69,71
6,70,72
6,71,33
6,72,184
6,73,168
6,74,110
6,75,147
6,76,125
6,77,71
6,78,148
6,79,122
6,80,44
6,81,35
6,82,79
6,83,26
6,84,68
6,85,78
6,86,21
6,87,43
6,88,60
6,89,151
6,90,40
6,91,91
6,92,123
6,93,70
6,94,71
6,95,67
6,96,85
6,97,0
6,98,0
6,99,0
6,100,0
6,101,99
6,102,0
6,103,0
6,104,0
6,105,0
6,106,63
6,107,0
6,108,0
6,109,0
6,110,0
6,111,67
7,64,86
